sheep weight survival
471 23.2 1
472 14 1
473 20.7 1
474 23.8 1
475 20.4 0
476 18.2 1
477 25 1
478 31 1
479 29.5 1
480 18.4 1
481 19.8 1
482 23.4 1
483 25.3 1
484 25.6 1
485 25.6 1
486 26.2 1
487 16.2 1
488 25.7 1
489 26 1
490 18 1
491 16.2 1
492 26.2 1
493 23.1 1
494 16.8 1
495 21.4 1
496 22.4 1
497 21.6 1
498 17.9 1
499 25.6 1
500 25.3 1
501 25.1 1
502 26.2 1
503 26.4 1
504 25.7 1
505 17.2 1
506 22.5 1
507 24.1 1
508 21.9 1
509 22.5 1
510 23.8 1
511 17.1 1
512 18.8 1
513 22.7 1
514 24.3 1
515 25 1
516 24.9 1
518 15.8 0
519 10.2 1
520 14.6 1
521 16.8 0
522 19.6 1
523 22.2 0
524 17 1
525 17.5 1
526 17.2 1
527 25.5 1
528 14.6 1
529 24.6 1
530 25.7 1
531 26.3 1
533 18.8 1
534 17.7 1
535 21.6 0
536 20.7 1
537 21.5 1
538 22 1
539 22.1 0
541 31.2 1
542 20.7 1
543 16.6 1
544 18.1 1
545 19.5 1
546 21.9 1
547 20.3 1
548 21.5 1
549 22.7 1
550 11 1
551 19.8 1
552 20.2 1
553 21.4 1
554 17.9 1
555 23.1 1
556 22 1
557 20.7 1
558 22.4 1
559 21.7 1
560 24.3 1
561 23.8 1
562 24.2 1
563 22.7 1
564 23.7 1
565 24.9 1
566 26.3 1
567 27.3 1
568 11.2 1
569 18.2 1
570 19 1
571 17.2 1
572 24.8 1
573 23.5 1
574 25.1 1
575 27.7 1
576 28.2 1
577 18.3 1
578 17.9 0
579 21.6 1
580 22 1
581 25 1
582 25.4 1
583 24.5 1
584 18 1
585 21.3 1
586 20.6 1
587 23.2 1
588 23.4 1
589 21.6 0
590 15.2 0
591 11.4 1
592 17.2 0
593 19.6 1
594 20.8 1
595 23.2 1
596 20.2 1
597 22.2 1
598 21.2 1
599 15.9 1
600 20.2 1
601 22.7 1
602 22.4 1
603 14.3 1
604 22.1 1
605 24.3 1
606 30.4 1
607 14 1
608 17.8 1
609 19.9 1
610 22.3 0
611 21.3 1
612 23.6 1
613 24.4 1
614 14.6 1
615 15.2 1
616 22.7 1
617 22.8 1
618 13.2 0
619 13.4 0
620 24.4 1
621 21.9 1
622 16.1 0
623 18.2 1
624 19.2 1
625 20.3 1
626 12.2 0
627 17.2 0
628 10.7 0
629 16.4 1
630 20.8 0
631 12 0
632 15.7 1
633 18.5 0
634 14.4 1
635 18.7 0
636 14.2 1
637 18 0
638 7.2 1
639 21.6 1
640 25.5 1
641 16.6 1
642 23.8 1
643 23.9 1
644 27.4 1
645 24.5 1
646 30.2 1
647 27.3 1
648 18 0
649 12.7 1
650 18 0
651 20.4 1
652 23.8 1
653 16.1 1
654 25.4 1
655 24.4 1
656 16 1
657 16.5 1
658 21.6 1
659 23.7 1
660 22.6 0
661 14.1 1
662 21.2 1
663 23.6 1
664 19.5 1
665 22.1 1
666 24.4 1
667 22.9 1
668 22.7 1
669 14.9 1
670 20 1
671 22 1
672 22.8 1
673 22.6 1
674 23.4 1
675 16.5 1
676 20.4 1
677 22.9 1
678 23.1 1
679 14.2 1
680 20.1 1
681 22 1
682 23.7 0
683 13.5 1
684 14.7 1
685 16.7 1
686 15.9 0
687 18 1
688 21.9 1
689 22.8 1
690 24.3 1
691 23 1
692 18.4 1
693 19.9 1
694 22.7 1
695 22.5 1
696 14 1
697 20.8 1
698 26.1 1
699 24.7 0
700 14.6 1
701 21.2 1
702 21.5 1
703 22.4 1
704 22.3 1
705 12.1 1
706 18.8 1
707 31.7 1
708 24.3 1
709 22.5 1
710 18.9 1
711 20.4 1
712 22 1
713 24.6 1
714 24.7 1
715 15.8 1
716 25.2 1
717 24.8 1
718 18 1
719 19.7 1
720 22.8 1
721 23.7 1
722 24.1 1
723 21.2 1
724 26.5 1
725 26 1
726 26.8 1
727 18 1
728 17.4 1
729 22.1 1
730 20.2 1
731 22.3 1
732 23.3 1
733 16.9 1
734 21.4 1
735 22.4 1
736 20.5 1
737 24.3 1
738 23.3 1
739 15.7 1
740 19.6 1
741 23.8 1
742 23.8 1
743 24.4 1
744 11.4 1
745 15.2 1
746 21.2 1
747 21.9 1
748 22.6 1
749 23.6 1
750 23.2 1
751 13.1 1
752 19.6 1
753 22.1 1
754 23.2 1
755 23.7 1
756 23.3 1
757 24 1
758 16.9 1
759 21 1
760 21.3 1
761 17.4 0
762 21 1
763 23.5 1
764 26.2 1
765 24.9 1
766 25 1
767 12.6 1
768 16 1
769 24.3 1
770 23.9 1
771 15.8 1
772 19 1
773 19.9 1
774 23.3 1
775 22 1
776 22.7 1
777 12.4 1
778 18.4 1
779 21.1 1
780 23.7 1
781 23.5 1
782 23.9 1
783 16.1 1
784 25.2 1
785 27.3 1
786 26.1 1
787 25.3 1
788 15 1
789 25.4 1
790 24.7 1
791 24.1 1
792 17.1 1
793 20.1 1
794 21.9 1
795 23.9 1
796 25.2 1
797 25.2 1
798 8.8 0
799 14.2 1
800 16.1 1
801 13.8 0
802 15.3 1
803 22.7 1
804 25.3 1
805 23.6 1
806 26.2 1
807 13.2 0
808 11.6 1
809 16.5 1
810 20.8 1
811 21.8 1
812 22.8 1
813 21.8 1
814 12.3 0
815 14 1
816 16.6 1
817 20.4 1
818 20.4 1
819 11.7 0
820 10.6 0
821 13.2 0
822 11.2 0
823 21 1
824 14.7 1
825 20.4 1
826 21.3 1
827 24 1
828 25 1
829 12.8 0
830 12.4 0
831 11.8 0
832 14.9 0
833 14.1 0
834 15 1
835 18 1
836 22.2 1
837 23.7 1
838 23.2 1
839 11.4 0
840 13.2 1
841 21.4 1
842 8.8 0
843 22.4 1
844 12.6 0
845 13.2 0
846 11.4 0
847 12.8 0
848 14.2 0
849 28.5 1
850 24 1
851 20.9 1
852 15.7 1
853 19.2 1
854 23 1
855 24.5 1
856 24.7 1
857 14.1 0
858 12.2 0
859 14.2 0
860 15.4 0
861 12.3 0
862 11.2 0
863 9.2 0
864 17.6 0
865 16 0
866 11.6 1
867 22.5 1
868 21.5 1
869 22.7 1
870 13.9 0
871 12 0
872 16 1
873 15 1
874 18.9 1
875 19.8 1
876 18.9 0
877 3.1 0
878 10.3 0
879 9.6 0
880 19.7 1
881 5 0
882 15.4 1
883 19.6 1
884 22.5 1
885 23.1 1
886 25.2 1
887 14.2 1
888 18.6 1
889 21 1
890 22.6 1
891 25.1 1
892 23.4 1
893 15.8 0
894 9.6 0
895 11.7 0
896 15.6 1
897 14.6 1
898 18.7 1
899 22.2 1
900 23.9 1
901 23.2 1
902 22.8 1
903 14.9 0
904 10.8 0
905 12.4 1
906 16 1
907 13.1 1
908 12.2 0
909 8.8 0
910 14 0
911 13 0
912 17.9 1
913 19.6 1
914 24.3 0
916 15.1 1
917 18.3 1
918 24.3 1
919 22 1
920 22.9 1
921 22.8 1
922 16.8 1
923 22.8 1
924 25 1
925 23.9 1
926 25.7 1
927 26 1
928 14.3 1
929 16 1
930 17 1
931 17.1 1
932 12.2 1
933 16.5 1
934 20.6 1
935 20.7 1
936 12.1 1
937 13.7 0
938 17.4 1
939 26.3 1
940 19.3 1
941 11.1 1
942 19 1
943 22.4 1
944 23.1 1
945 25.3 1
946 14.1 1
947 19.1 1
948 10.6 1
949 15.7 1
950 19.7 1
951 19 1
952 27.1 1
953 8.8 1
954 11.6 1
955 15 1
956 19 1
957 18.2 1
958 20 1
959 13.8 1
960 24.3 1
961 16.5 0
962 12.6 1
963 17 1
964 20.2 1
965 22.7 1
966 23.2 1
967 11.9 0
968 21.5 1
969 17.4 1
970 22.9 1
971 21.8 1
972 15.9 1
973 17.7 0
974 14.9 1
975 20.4 1
976 22 1
977 23.9 1
978 24.1 1
979 12.3 0
980 15.4 1
981 19.7 1
982 22.5 1
983 24.1 1
984 23.4 1
985 23.3 1
986 11.4 1
987 15.6 0
988 6.8 1
989 20.4 1
990 24.6 1
991 25.9 1
992 12.8 1
993 17.2 1
994 23.1 1
995 24.2 1
996 11.1 1
997 21.2 0
998 17.8 1
999 21.7 1
1000 23.5 1
1001 22.6 1
1002 13.6 1
1003 19.8 1
1004 21 1
1005 23 1
1006 24.6 1
1007 10.7 0
1008 11.3 1
1009 23.7 1
1010 13.4 1
1011 17.4 1
1012 21.4 1
1013 23.4 1
1014 13.8 1
1015 19.4 1
1016 21 1
1017 22.9 1
1018 13.6 1
1019 19.3 1
1020 21.5 1
1021 21.9 0
1022 7.4 1
1023 15 1
1024 17.8 1
1025 19.1 1
1026 19 1
1027 11 1
1028 17.1 1
1029 18 1
1030 20.7 1
1031 20.2 1
1032 14.6 1
1033 18.5 1
1034 22.5 1
1035 21.4 1
1036 12.3 1
1037 16.9 1
1038 20 1
1039 21.5 1
1040 16.3 1
1041 23.1 1
1042 14.8 1
1043 18.3 1
1044 21.7 1
1045 24.2 1
1046 25.7 1
1047 13.1 1
1048 18.1 1
1049 20.6 1
1050 20.2 1
1051 25 1
1052 14.6 0
1053 10.5 1
1054 20.8 1
1055 21.4 1
1056 19.7 1
1057 24.4 1
1058 11.9 0
1059 15 1
1060 18.4 1
1061 22 1
1062 12.6 0
1063 16.6 1
1064 21.5 1
1065 25.7 1
1066 25.7 1
1067 11.8 0
1068 10.1 0
1069 10.6 0
1070 13.9 1
1071 23.4 1
1072 15 1
1073 21.4 1
1074 23 1
1075 14.9 0
1076 13.6 1
1077 18.1 1
1078 22.8 1
1079 23.1 1
1080 15 1
1081 18.4 1
1082 22.5 1
1083 16.2 1
1084 25.3 1
1085 22.5 1
1086 25 1
1087 17.2 0
1088 13.4 0
1089 15.8 1
1090 23.2 1
1091 24.2 1
1092 12.9 0
1093 13.6 1
1094 17 1
1095 20.7 1
1096 20.9 1
1097 11.9 0
1098 15 0
1099 17 1
1100 20.8 1
1101 23 1
1102 15.7 1
1103 24.6 1
1104 24.2 1
1105 10 0
1106 11.2 0
1107 17 1
1108 22.4 1
1109 21.5 1
1110 10.6 0
1111 12.3 1
1112 18 1
1113 23.2 1
1114 13.2 1
1115 18.7 1
1116 11.3 0
1117 12.4 1
1118 16.6 1
1119 10.8 0
1120 22.3 1
1121 11.5 0
1122 12.7 1
1123 20.8 1
1124 12.7 1
1125 7.6 0
1126 20.7 1
1127 22.4 1
1128 14.7 1
1129 17 1
1130 20.9 1
1131 22.3 1
1132 14.6 0
1133 10.6 0
1134 11.4 1
1135 13.9 0
1136 19.5 1
1137 20.7 1
1138 12.2 0
1139 11.2 0
1140 15.8 1
1141 18.1 1
1142 16.4 1
1143 19.1 1
1144 21.2 1
1145 9.7 0
1146 8.3 0
1147 14.5 1
1148 18.4 1
1149 24.8 1
1150 24.7 1
1151 13.9 1
1152 19.3 1
1153 25 1
1154 6.1 1
1155 6.2 1
1156 13.7 0
1158 19.6 1
1159 24.1 1
1161 23 1
1162 23.5 1
1163 14.2 0
1164 10.7 1
1165 15.7 1
1166 21.9 1
1167 25.6 1
1168 12.3 1
1169 15 1
1170 21 1
1171 22.1 1
1173 15.1 1
1174 20.3 1
1175 13.5 0
1176 19.3 1
1177 12 1
1178 15.4 0
1179 13.6 1
1180 14.8 0
1181 14.1 0
1182 21.6 1
1183 12 0
1184 20 1
1185 15.9 1
1186 13.8 0
1187 12 0
1188 13.7 0
1189 11.8 0
1190 13.6 0
1191 13.8 0
1192 11.8 1
1193 14 1
1194 12.7 0
1195 15.6 0
1196 13.4 0
1197 12.5 0
1198 14.1 1
1199 13.3 1
1200 19 1
1201 14.1 0
1202 14.2 1
1203 13.5 0
1204 10 0
1205 19.8 1
1206 13.5 0
1207 9.3 0
1208 14 1
1209 18.1 1
1210 14 1
1211 15 0
1212 16.1 1
1213 21.6 1
1214 20.3 1
1215 21.9 0
1216 7.7 0
1217 12.7 0
1218 13.4 1
1219 19.1 1
1220 13 0
1221 14.7 0
1222 9.7 0
1223 13.6 0
1224 9.9 1
1225 11.4 1
1226 11.2 1
1227 16.7 1
1228 17.4 1
1229 14.4 1
1230 18.5 1
1231 15 1
1232 17.6 1
1233 17.4 1
1234 14.9 1
1235 18.4 1
1236 12.2 0
1237 13.3 1
1238 12.6 1
1239 19.9 1
1240 9.8 1
1241 14 1
1242 13.5 1
1243 14.8 0
1244 12.8 1
1245 16.7 1
1246 12.6 0
1247 10.9 1
1248 18.4 1
1249 12.2 1
1250 17.9 1
1251 11.2 0
1252 10.1 1
1253 12.4 0
1254 13.1 1
1255 15.2 1
1256 16.4 1
1257 10.6 0
1258 15 1
1259 18.2 1
1260 13.1 1
1261 17.1 1
1262 12.7 0
1263 17.7 1
1264 13.3 1
1265 16.6 1
1266 9.8 1
1267 9.2 0
1268 12.1 1
1269 17.5 1
1270 18.7 1
1271 15.5 1
1272 12.4 1
1273 16.8 1
1274 8.5 1
1275 16 1
1276 17.8 1
1277 15.3 1
1278 18.1 1
1279 13.6 1
1280 18.7 1
1281 10.9 1
1282 11.1 1
1283 16.9 1
1284 14.8 1
1285 17.7 1
1286 13.9 1
1287 17.3 0
1288 11.2 0
1289 12.6 1
1290 12.6 1
1291 13.9 1
1292 15.3 0
1293 9.4 1
1294 15.1 1
1295 18.1 1
1296 17.4 1
1297 8.6 1
1298 15.3 0
1300 15 1
1301 9.9 1
1302 14.8 0
1303 14.8 1
1304 9.7 0
1305 11.5 1
1306 14.8 1
1307 18.3 1
1308 13.5 1
1309 18.4 1
1310 15.8 1
1311 19.5 1
1312 10.9 0
1313 9.3 0
1314 15.3 1
1315 16.3 0
1316 13.7 1
1317 13.4 0
1318 11.4 1
1319 11.9 0
1320 13.9 0
1321 5.5 0
1322 11.1 0
1323 11.2 0
1324 13.9 1
1325 15.9 1
1326 13.1 0
1327 12.9 1
1328 13.6 0
1329 12.3 1
1330 10.4 0
1331 12.8 0
1332 14.1 1
1333 14.7 0
1334 7.7 0
1335 14 0
1336 9.7 0
1337 14.7 1
1338 14.5 0
1339 12 0
1340 7.7 0
1341 11.9 0
1342 6.6 0
1343 6.4 1
1344 9.4 0
1345 8.9 0
1346 15 0
1347 14.4 0
1348 9.7 0
1349 11 0
1350 18.2 1
1351 15.3 0
1352 8 0
1353 9.9 1
1354 7 0
1355 14.2 1
1356 14.3 1
1357 10.6 1
1358 12.5 1
1359 7.6 1
1360 14.2 1
1361 11.9 1
1362 14.9 1
1363 13.6 1
1364 9.2 0
1365 13.7 1
1366 13.8 1
1367 13.5 1
