 id   sex   weight  foot
   2039   f   1260   137
   2042   m   1170   135
   2043   f   1560   139
   2053   f   1185   142
   2055   m   1350   132
   2068   m   1310   139
   2083   m   1550   142
   2084   f   1425   136
   2085   f   1475   137
   2086   m   1265   130
   2087   m   1475   134
   2089   f   1430   137
   2105   m   1185   123
   2108   f   1360   138
   2112   f   1570   140
   2131   f   980   124
   2138   f   1660   137
   2141   m   1460   134
   2142   f   1610   131
   2143   f   1605   140
   2148   m   1285   137
   2153   m   1553   149
   2155   f   1520   132
   2158   m   1140   128
   2160   f   1565   138
   2161   m   1520   146
   2162   m   1095   131
   2164   m   1325   133
   2165   m   1300   140
   2166   m   1290   135
   2167   m   705   104
   2170   m   1335   137
   2172   m   1410   141
   2174   m   635   121
   2193   f   910   130
   2196   f   1310   130
   2203   f   1125   125
   2205   f   1300   138
   2206   m   1175   129
   2210   f   1350   134
   2211   m   1240   134
   2212   f   1210   137
   2213   f   1280   137
   2214   m   1250   138
   2215   m   1400   135
   2216   f   1220   132
   2217   f   1200   130
   2218   f   1470   141
   2219   f   1505   136
   2220   f   720   108
   2222   m   680   110
   2224   f   1520   139
   2270   f   1085   129
   2284   f   940   131
   2285   m   1460   134
   2287   f   1440   143
   2301   m   1095   138
   2308   m   1395   135
   2320   f   1425   140
   2321   f   1560   133
   2326   f   1325   134
   2327   m   1240   138
   2328   f   910   127
   2329   m   1000   122
   2330   m   1195   129
   2332   m   1255   134
   2336   f   1250   131
   2337   m   1260   136
   2343   m   1870   148
   2344   m   980   119
   2345   f   1700   138
   2347   m   1210   130
   2352   f   1725   144
   2353   f   1320   132
   2359   m   1230   129
   2374   f   1470   142
   2377   f   1210   128
   2381   f   770   111
   2384   f   980   128
   2396   m   1330   137
   2418   f   810   111
   2426   m   1310   134
   2427   f   1060   123
   2440   f   840   116
   2441   m   1435   132
   2479   m   960   122
   2480   m   1020   121
   2486   f   740   112
   2491   f   1060   130
   2526   f   1255   135
   2528   f   1050   131
   2535   m   1360   132
   2539   m   1455   130
   2540   m   860   115
   2542   m   1020   126
   2543   f   1030   128
   2545   m   1360   138
   2546   m   940   128
   2547   m   795   110
   2550   f   1370   140
   2553   m   1365   140
   2554   f   1570   138
   2558   f   1315   135
   2559   m   1140   125
   2560   f   1400   140
   2561   f   1300   140
   2562   m   1120   133
   2567   m   1690   145
   2587   m   1460   139
   2593   m   1525   135
   2596   m   1300   138
   2598   m   1400   137
   2601   m   1550   136
   2604   f   1530   131
   2606   m   1260   132
   2607   f   1060   138
   2610   f   1370   140
   2632   m   1425   137
   2634   f   1270   136
   2701   m   1450   142
   2703   m   1120   138
   2705   f   1450   140
   2706   m   1200   138
   2709   f   1700   140
   2711   m   1510   141
   2712   m   1090   133
   2713   f   1415   135
   2718   f   1640   144
   2721   m   800   108
   2723   m   1360   140
   2725   f   1735   142
   2727   m   1140   136
   2729   f   1410   145
   2730   f   1800   149
   2731   f   1480   153
   2732   f   1270   140
   2734   m   1240   135
   2736   f   1545   141
   2738   m   1370   139
   2739   m   1410   138
   2741   f   1700   139
   2742   m   1260   142
   2754   m   1455   139
   2761   m   1480   134
   2762   m   1280   135
   2764   m   1805   145
   2768   f   1245   126
   2775   f   1755   147
   2797   m   1325   137
   2804   f   1470   138
   2806   f   950   125
   2807   m   1440   140
   2814   f   1240   134
   2815   m   1470   135
   2816   f   1195   136
   2818   m   1525   137
   2826   m   1265   130
   2828   m   1135   137
   2830   m   1380   142
   2831   m   1510   132
   2833   f   1530   140
   2835   m   585   104
   2837   f   1145   130
   2839   m   1415   140
   2840   f   1215   130
   2841   f   1145   133
   2846   f   1380   130
   2848   f   1450   136
   2850   f   1450   134
   2851   m   1255   134
   2868   m   1495   134
   2876   f   1440   141
   2878   f   1270   143
   2880   f   1670   149
   2881   f   1600   139
   2883   m   1545   135
   2884   f   1340   134
   2885   m   1300   133
   2886   m   1300   139
   2887   f   1280   133
   2888   m   1320   135
   2889   m   1360   132
   2891   m   1300   138
   2893   m   1275   133
   2895   m   1135   127
   2897   m   925   119
   2900   m   1540   139
   2901   m   675   112
   2902   m   1410   135
   2906   f   1640   140
   2908   f   1395   136
   2912   m   1350   137
   2914   f   1145   127
   2915   m   1055   130
   2916   f   1320   135
   2921   m   1300   132
   2932   m   1420   137
   2937   f   1330   128
   2938   f   1630   135
   2941   m   1580   132
   2944   f   1700   138
   2945   f   1375   132
   2946   f   1260   133
   2947   f   1480   137
   2950   f   1570   145
   2956   f   1745   141
   2959   f   1470   130
   2961   f   1830   139
   2964   f   1650   138
   2969   m   1280   140
   2970   f   1660   142
   2971   f   590   98
   2975   f   1460   127
   2976   f   1425   138
   2980   m   1120   129
   2981   f   660   119
   2982   f   1225   136
   2983   f   1055   128
   2985   m   990   128
   2986   m   1245   137
   2987   f   1150   133
   2988   f   1370   138
   2989   f   1280   133
   2991   f   1220   131
   2992   f   1300   137
   2993   f   875   124
   2996   m   780   115
   2997   f   1060   129
   2998   f   1315   142
   2999   m   1250   133
   3001   f   1170   130
   3003   f   1430   138
   3004   m   1410   133
   3005   m   1430   132
   3006   f   1325   127
   3007   f   1030   142
   3008   m   1575   136
   3009   f   1555   140
   3010   m   1210   135
   3011   m   1380   144
   3015   f   1360   140
   3016   m   1190   138
   3018   m   1325   141
   3019   m   1340   131
   3020   m   1070   140
   3023   f   1660   142
   3026   m   1185   134
   3027   m   1250   135
   3030   m   950   126
   3031   m   1030   140
   3032   f   1260   140
   3035   m   1225   135
   3036   m   1265   131
   3037   m   1293   139
   3038   f   1265   135
   3041   f   1420   140
   3044   m   1220   125
   3045   m   1610   140
   3051   f   1470   140
   3055   m   1330   141
   3057   m   1215   138
   3060   m   1190   133
   3061   f   1695   140
   3062   f   1340   141
   3066   m   1495   129
   3067   m   1335   136
   3068   m   1380   139
   3072   f   1550   143
   3073   m   980   128
   3074   f   1285   142
   3098   f   1565   138
   3105   m   1410   137
   3108   m   1210   135
   3109   m   1180   134
   3113   f   1360   142
   3114   m   1210   134
   3115   m   1130   135
   3118   f   1310   136
   3119   m   1265   140
   3121   f   1730   138
   3123   f   1575   139
   3124   m   1705   143
   3125   m   1310   142
   3129   m   1550   145
   3130   f   1445   138
   3131   m   1205   132
   3132   m   1270   135
   3133   f   1245   137
   3136   m   1260   135
   3137   f   1410   141
   3138   m   1605   135
   3139   f   1815   145
   3141   f   1180   131
   3144   f   1430   140
   3145   m   1205   136
   3148   m   1110   134
   3149   f   1130   120
   3151   m   1240   139
   3152   f   1300   139
   3154   f   1550   139
   3155   m   1420   134
   3159   f   1205   132
   3160   m   1300   137
   3161   m   1265   135
   3162   m   1390   140
   3164   f   1070   132
   3166   f   1405   140
   3167   m   1300   132
   3168   f   1365   137
   3169   f   1205   129
   3170   m   1000   125
   3171   f   1245   129
   3175   m   1335   130
   3180   m   1280   137
   3181   f   1580   138
   3185   m   1410   134
   3193   m   1380   135
   3200   f   1620   136
   3207   f   1340   144
   3208   f   1750   140
   3209   m   1150   130
   3226   m   1195   133
   3228   f   1248   133
   3230   f   1290   136
   3231   f   1470   140
   3233   m   950   134
   3234   m   1200   128
   3235   m   1270   138
   3236   f   1020   127
   3239   f   1290   132
   3240   f   1070   113
   3245   f   1425   132
   3246   f   1520   137
   3247   f   1420   141
   3248   m   1385   138
   3250   m   1190   128
   3251   m   980   120
   3252   f   1460   140
   3253   f   1400   137
   3255   f   1370   129
   3256   f   1395   133
   3257   f   1475   141
   3258   f   1600   139
   3261   m   1425   140
   3276   f   1270   138
   3287   f   1225   132
   3288   f   1245   138
   3291   f   1510   139
   3303   m   1220   132
   3307   f   1335   137
   3308   m   1465   136
   3311   f   1650   142
   3312   f   1355   138
   3314   f   1215   137
   3315   m   1280   130
   3319   f   1345   142
   3324   f   1495   143
   3325   m   1350   138
   3326   f   1270   137
   3330   f   1490   134
   3346   m   1770   133
   3351   m   1200   132
   3352   f   1205   133
   3356   f   940   128
   3357   f   1270   134
   3358   f   1238   135
   3359   m   1400   134
   3360   f   1595   143
   3362   f   1320   136
   3364   m   1250   131
   3365   m   1130   127
   3367   m   1310   134
   3368   m   1345   135
   3369   m   1385   138
   3370   m   1340   131
   3375   m   1390   136
   3377   m   1210   132
   3378   m   1092   124
   3383   m   1250   128
   3384   f   1087   133
   3385   f   1505   133
   3386   m   1435   138
   3387   m   1035   126
   3389   f   945   128
   3390   m   1210   143
   3393   f   1480   136
   3395   f   1470   142
   3400   f   1410   135
   3401   f   1495   143
   3403   m   1145   134
   3405   f   1450   137
   3407   f   1450   137
   3408   m   1410   140
   3409   m   1370   137
   3410   m   1240   141
   3411   f   1050   128
   3412   f   1030   132
   3414   m   1210   137
   3420   m   1175   133
   3423   m   1175   138
   3424   f   1475   141
   3425   m   1210   132
   3427   f   1280   134
   3429   f   1535   139
   3432   f   1190   129
   3439   f   1580   141
   3442   m   1330   136
   3446   m   1075   127
   3447   m   1455   144
   3449   f   1300   136
   3452   m   1090   125
   3453   f   1260   134
   3454   f   860   117
   3455   f   920   116
   3456   m   1190   127
   3459   m   1260   134
   3462   f   1450   139
   3465   f   1140   128
   3472   f   1255   138
   3474   m   1470   140
   3475   m   1220   137
   3477   f   1305   135
   3478   m   1030   127
   3482   f   1255   141
   3483   f   1180   134
   3485   f   1295   136
   3486   m   1255   132
   3487   m   1180   131
   3491   m   1150   133
   3502   m   1435   140
   3503   f   1265   129
   3504   f   1440   141
   3506   f   1335   137
   3508   m   1560   139
   3509   m   1160   128
   3511   f   1290   138
   3513   m    970   123
   3515   f   1285   139
   3516   m   1300   140
   3520   m   1115   129
