subject  postlife      religion      gender  
  232    1  1  1
  233    1  1  1
  234    1  1  1
  235    1  1  1
  236    1  1  1
  237    1  1  1
  238    1  1  1
  239    1  1  1
  240    1  1  1
  241    1  1  1
  242    1  1  1
  243    1  1  1
  244    1  1  1
  245    1  1  1
  246    1  1  1
  247    1  1  1
  248    1  1  1
  249    1  1  1
  250    1  1  1
  251    1  1  1
  252    1  1  1
  253    1  1  1
  254    1  1  1
  255    1  1  1
  256    1  1  1
  257    1  1  1
  258    1  1  1
  259    1  1  1
  260    1  1  1
  261    1  1  1
  262    1  1  1
  263    1  1  1
  264    1  1  1
  265    1  1  1
  266    1  1  1
  267    1  1  1
  268    1  1  1
  269    1  1  1
  270    1  1  1
  271    1  1  1
  272    1  1  1
  273    1  1  1
  274    1  1  1
  275    1  1  1
  276    1  1  1
  277    1  1  1
  278    1  1  1
  279    1  1  1
  280    1  1  1
  281    1  1  1
  282    1  1  1
  283    1  1  1
  284    1  1  1
  285    1  1  1
  286    1  1  1
  287    1  1  1
  288    1  1  1
  289    1  1  1
  290    1  1  1
  291    1  1  1
  292    1  1  1
  293    1  1  1
  294    1  1  1
  295    1  1  1
  296    1  1  1
  297    1  1  1
  298    1  1  1
  299    1  1  1
  300    1  1  1
  301    1  1  1
  302    1  1  1
  303    1  1  1
  304    1  1  1
  305    1  1  1
  306    1  1  1
  307    1  1  1
  308    1  1  1
  309    1  1  1
  310    1  1  1
  311    1  1  1
  312    1  1  1
  313    1  1  1
  314    1  1  1
  315    1  1  1
  316    1  1  1
  317    1  1  1
  318    1  1  1
  319    1  1  1
  320    1  1  1
  321    1  1  1
  322    1  1  1
  323    1  1  1
  324    1  1  1
  325    1  1  1
  326    1  1  1
  327    1  1  1
  328    1  1  1
  329    1  1  1
  330    1  1  1
  331    1  1  1
  332    1  1  1
  333    1  1  1
  334    1  1  1
  335    1  1  1
  336    1  1  1
  337    1  1  1
  338    1  1  1
  339    1  1  1
  340    1  1  1
  341    1  1  1
  342    1  1  1
  343    1  1  1
  344    1  1  1
  345    1  1  1
  346    1  1  1
  347    1  1  1
  348    1  1  1
  349    1  1  1
  350    1  1  1
  351    1  1  1
  352    1  1  1
  353    1  1  1
  354    1  1  1
  355    1  1  1
  356    1  1  1
  357    1  1  1
  358    1  1  1
  359    1  1  1
  360    1  1  1
  361    1  1  1
  362    1  1  1
  363    1  1  1
  364    1  1  1
  365    1  1  1
  366    1  1  1
  367    1  1  1
  368    1  1  1
  369    1  1  1
  370    1  1  1
  371    1  1  1
  372    1  1  1
  373    1  1  1
  374    1  1  1
  375    1  1  1
  376    1  1  1
  377    1  1  1
  378    1  1  1
  379    1  1  1
  380    1  1  1
  381    1  1  1
  382    1  1  1
  383    1  1  1
  384    1  1  1
  385    1  1  1
  386    1  1  1
  387    1  1  1
  388    2  1  1
  389    2  1  1
  390    2  1  1
  391    2  1  1
  392    2  1  1
  393    2  1  1
  394    2  1  1
  395    2  1  1
  396    2  1  1
  397    2  1  1
  398    2  1  1
  399    2  1  1
  400    2  1  1
  401    2  1  1
  402    2  1  1
  403    2  1  1
  404    2  1  1
  405    2  1  1
  406    2  1  1
  407    2  1  1
  408    2  1  1
  409    2  1  1
  410    2  1  1
  411    2  1  1
  412    2  1  1
  413    2  1  1
  414    2  1  1
  415    2  1  1
  416    2  1  1
  417    2  1  1
  418    2  1  1
  419    2  1  1
  420    2  1  1
  421    2  1  1
  422    2  1  1
  423    2  1  1
  424    2  1  1
  425    2  1  1
  426    2  1  1
  427    2  1  1
  428    2  1  1
  429    2  1  1
  430    2  1  1
  431    2  1  1
  432    2  1  1
  433    2  1  1
  434    2  1  1
  435    2  1  1
  436    2  1  1
  437    2  1  1
  438    2  1  1
  439    2  1  1
  440    2  1  1
  441    2  1  1
  442    2  1  1
  443    2  1  1
  444    2  1  1
  445    2  1  1
  446    2  1  1
  447    2  1  1
  448    2  1  1
  449    2  1  1
  450    1  2  1
  451    1  2  1
  452    1  2  1
  453    1  2  1
  454    1  2  1
  455    1  2  1
  456    1  2  1
  457    1  2  1
  458    1  2  1
  459    1  2  1
  460    1  2  1
  461    1  2  1
  462    1  2  1
  463    1  2  1
  464    1  2  1
  465    1  2  1
  466    1  2  1
  467    1  2  1
  468    1  2  1
  469    1  2  1
  470    1  2  1
  471    1  2  1
  472    1  2  1
  473    1  2  1
  474    1  2  1
  475    1  2  1
  476    1  2  1
  477    1  2  1
  478    1  2  1
  479    1  2  1
  480    1  2  1
  481    1  2  1
  482    1  2  1
  483    1  2  1
  484    1  2  1
  485    1  2  1
  486    1  2  1
  487    1  2  1
  488    1  2  1
  489    1  2  1
  490    1  2  1
  491    1  2  1
  492    1  2  1
  493    1  2  1
  494    1  2  1
  495    1  2  1
  496    1  2  1
  497    1  2  1
  498    1  2  1
  499    1  2  1
  500    1  2  1
  501    1  2  1
  502    1  2  1
  503    1  2  1
  504    1  2  1
  505    1  2  1
  506    1  2  1
  507    1  2  1
  508    1  2  1
  509    1  2  1
  510    1  2  1
  511    1  2  1
  512    1  2  1
  513    1  2  1
  514    1  2  1
  515    1  2  1
  516    1  2  1
  517    1  2  1
  518    1  2  1
  519    1  2  1
  520    1  2  1
  521    1  2  1
  522    1  2  1
  523    1  2  1
  524    1  2  1
  525    1  2  1
  526    1  2  1
  527    1  2  1
  528    1  2  1
  529    1  2  1
  530    1  2  1
  531    1  2  1
  532    1  2  1
  533    1  2  1
  534    1  2  1
  535    1  2  1
  536    1  2  1
  537    1  2  1
  538    1  2  1
  539    1  2  1
  540    1  2  1
  541    1  2  1
  542    1  2  1
  543    1  2  1
  544    1  2  1
  545    1  2  1
  546    1  2  1
  547    1  2  1
  548    1  2  1
  549    1  2  1
  550    1  2  1
  551    1  2  1
  552    1  2  1
  553    1  2  1
  554    1  2  1
  555    1  2  1
  556    1  2  1
  557    1  2  1
  558    1  2  1
  559    1  2  1
  560    1  2  1
  561    1  2  1
  562    1  2  1
  563    1  2  1
  564    1  2  1
  565    1  2  1
  566    1  2  1
  567    1  2  1
  568    1  2  1
  569    1  2  1
  570    1  2  1
  571    1  2  1
  572    1  2  1
  573    1  2  1
  574    1  2  1
  575    1  2  1
  576    1  2  1
  577    1  2  1
  578    1  2  1
  579    1  2  1
  580    1  2  1
  581    1  2  1
  582    1  2  1
  583    1  2  1
  584    1  2  1
  585    1  2  1
  586    1  2  1
  587    1  2  1
  588    1  2  1
  589    1  2  1
  590    1  2  1
  591    1  2  1
  592    1  2  1
  593    1  2  1
  594    1  2  1
  595    1  2  1
  596    1  2  1
  597    1  2  1
  598    1  2  1
  599    1  2  1
  600    1  2  1
  601    1  2  1
  602    1  2  1
  603    1  2  1
  604    2  2  1
  605    2  2  1
  606    2  2  1
  607    2  2  1
  608    2  2  1
  609    2  2  1
  610    2  2  1
  611    2  2  1
  612    2  2  1
  613    2  2  1
  614    2  2  1
  615    2  2  1
  616    2  2  1
  617    2  2  1
  618    2  2  1
  619    2  2  1
  620    2  2  1
  621    2  2  1
  622    2  2  1
  623    2  2  1
  624    2  2  1
  625    2  2  1
  626    2  2  1
  627    2  2  1
  628    2  2  1
  629    2  2  1
  630    2  2  1
  631    2  2  1
  632    2  2  1
  633    2  2  1
  634    2  2  1
  635    2  2  1
  636    2  2  1
  637    2  2  1
  638    2  2  1
  639    2  2  1
  640    2  2  1
  641    2  2  1
  642    2  2  1
  643    1  3  1
  644    1  3  1
  645    1  3  1
  646    1  3  1
  647    1  3  1
  648    1  3  1
  649    1  3  1
  650    1  3  1
  651    2  3  1
  652    2  3  1
  653    2  3  1
  654    2  3  1
  655    2  3  1
  656    2  3  1
  657    2  3  1
  658    2  3  1
  659    2  3  1
  660    1  1  2
  661    1  1  2
  662    1  1  2
  663    1  1  2
  664    1  1  2
  665    1  1  2
  666    1  1  2
  667    1  1  2
  668    1  1  2
  669    1  1  2
  670    1  1  2
  671    1  1  2
  672    1  1  2
  673    1  1  2
  674    1  1  2
  675    1  1  2
  676    1  1  2
  677    1  1  2
  678    1  1  2
  679    1  1  2
  680    1  1  2
  681    1  1  2
  682    1  1  2
  683    1  1  2
  684    1  1  2
  685    1  1  2
  686    1  1  2
  687    1  1  2
  688    1  1  2
  689    1  1  2
  690    1  1  2
  691    1  1  2
  692    1  1  2
  693    1  1  2
  694    1  1  2
  695    1  1  2
  696    1  1  2
  697    1  1  2
  698    1  1  2
  699    1  1  2
  700    1  1  2
  701    1  1  2
  702    1  1  2
  703    1  1  2
  704    1  1  2
  705    1  1  2
  706    1  1  2
  707    1  1  2
  708    1  1  2
  709    1  1  2
  710    1  1  2
  711    1  1  2
  712    1  1  2
  713    1  1  2
  714    1  1  2
  715    1  1  2
  716    1  1  2
  717    1  1  2
  718    1  1  2
  719    1  1  2
  720    1  1  2
  721    1  1  2
  722    1  1  2
  723    1  1  2
  724    1  1  2
  725    1  1  2
  726    1  1  2
  727    1  1  2
  728    1  1  2
  729    1  1  2
  730    1  1  2
  731    1  1  2
  732    1  1  2
  733    1  1  2
  734    1  1  2
  735    1  1  2
  736    1  1  2
  737    1  1  2
  738    1  1  2
  739    1  1  2
  740    1  1  2
  741    1  1  2
  742    1  1  2
  743    1  1  2
  744    1  1  2
  745    1  1  2
  746    1  1  2
  747    1  1  2
  748    1  1  2
  749    1  1  2
  750    1  1  2
  751    1  1  2
  752    1  1  2
  753    1  1  2
  754    1  1  2
  755    1  1  2
  756    1  1  2
  757    1  1  2
  758    1  1  2
  759    1  1  2
  760    1  1  2
  761    1  1  2
  762    1  1  2
  763    1  1  2
  764    1  1  2
  765    1  1  2
  766    1  1  2
  767    1  1  2
  768    1  1  2
  769    1  1  2
  770    1  1  2
  771    1  1  2
  772    1  1  2
  773    1  1  2
  774    1  1  2
  775    1  1  2
  776    1  1  2
  777    1  1  2
  778    1  1  2
  779    1  1  2
  780    1  1  2
  781    1  1  2
  782    1  1  2
  783    1  1  2
  784    1  1  2
  785    1  1  2
  786    1  1  2
  787    1  1  2
  788    1  1  2
  789    1  1  2
  790    1  1  2
  791    1  1  2
  792    1  1  2
  793    1  1  2
  794    1  1  2
  795    1  1  2
  796    1  1  2
  797    1  1  2
  798    1  1  2
  799    1  1  2
  800    1  1  2
  801    1  1  2
  802    1  1  2
  803    1  1  2
  804    1  1  2
  805    1  1  2
  806    1  1  2
  807    1  1  2
  808    1  1  2
  809    1  1  2
  810    1  1  2
  811    1  1  2
  812    1  1  2
  813    1  1  2
  814    1  1  2
  815    1  1  2
  816    1  1  2
  817    1  1  2
  818    1  1  2
  819    1  1  2
  820    1  1  2
  821    1  1  2
  822    1  1  2
  823    1  1  2
  824    1  1  2
  825    1  1  2
  826    1  1  2
  827    1  1  2
  828    1  1  2
  829    1  1  2
  830    1  1  2
  831    1  1  2
  832    1  1  2
  833    1  1  2
  834    1  1  2
  835    1  1  2
  836    1  1  2
  837    1  1  2
  838    1  1  2
  839    1  1  2
  840    1  1  2
  841    1  1  2
  842    1  1  2
  843    1  1  2
  844    1  1  2
  845    1  1  2
  846    1  1  2
  847    1  1  2
  848    1  1  2
  849    1  1  2
  850    1  1  2
  851    1  1  2
  852    1  1  2
  853    1  1  2
  854    1  1  2
  855    1  1  2
  856    1  1  2
  857    1  1  2
  858    1  1  2
  859    1  1  2
  860    1  1  2
  861    1  1  2
  862    1  1  2
  863    1  1  2
  864    1  1  2
  865    1  1  2
  866    1  1  2
  867    1  1  2
  868    1  1  2
  869    1  1  2
  870    1  1  2
  871    1  1  2
  872    1  1  2
  873    1  1  2
  874    1  1  2
  875    1  1  2
  876    1  1  2
  877    1  1  2
  878    1  1  2
  879    1  1  2
  880    1  1  2
  881    1  1  2
  882    1  1  2
  883    1  1  2
  884    1  1  2
  885    1  1  2
  886    1  1  2
  887    1  1  2
  888    1  1  2
  889    1  1  2
  890    1  1  2
  891    1  1  2
  892    1  1  2
  893    1  1  2
  894    1  1  2
  895    1  1  2
  896    1  1  2
  897    1  1  2
  898    1  1  2
  899    1  1  2
  900    1  1  2
  901    1  1  2
  902    1  1  2
  903    1  1  2
  904    1  1  2
  905    1  1  2
  906    1  1  2
  907    1  1  2
  908    1  1  2
  909    1  1  2
  910    1  1  2
  911    1  1  2
  912    1  1  2
  913    1  1  2
  914    1  1  2
  915    1  1  2
  916    1  1  2
  917    1  1  2
  918    1  1  2
  919    1  1  2
  920    1  1  2
  921    1  1  2
  922    1  1  2
  923    1  1  2
  924    1  1  2
  925    1  1  2
  926    1  1  2
  927    1  1  2
  928    1  1  2
  929    1  1  2
  930    1  1  2
  931    1  1  2
  932    1  1  2
  933    1  1  2
  934    1  1  2
  935    1  1  2
  936    1  1  2
  937    1  1  2
  938    1  1  2
  939    1  1  2
  940    1  1  2
  941    1  1  2
  942    1  1  2
  943    1  1  2
  944    1  1  2
  945    1  1  2
  946    1  1  2
  947    1  1  2
  948    1  1  2
  949    1  1  2
  950    1  1  2
  951    1  1  2
  952    1  1  2
  953    1  1  2
  954    1  1  2
  955    1  1  2
  956    1  1  2
  957    1  1  2
  958    1  1  2
  959    1  1  2
  960    1  1  2
  961    1  1  2
  962    1  1  2
  963    1  1  2
  964    1  1  2
  965    1  1  2
  966    1  1  2
  967    1  1  2
  968    1  1  2
  969    1  1  2
  970    1  1  2
  971    1  1  2
  972    1  1  2
  973    1  1  2
  974    1  1  2
  975    1  1  2
  976    1  1  2
  977    1  1  2
  978    1  1  2
  979    1  1  2
  980    1  1  2
  981    1  1  2
  982    1  1  2
  983    1  1  2
  984    1  1  2
  985    1  1  2
  986    1  1  2
  987    1  1  2
  988    1  1  2
  989    1  1  2
  990    1  1  2
  991    1  1  2
  992    1  1  2
  993    1  1  2
  994    1  1  2
  995    1  1  2
  996    1  1  2
  997    1  1  2
  998    1  1  2
  999    1  1  2
  1000    1  1  2
  1001    1  1  2
  1002    1  1  2
  1003    1  1  2
  1004    1  1  2
  1005    1  1  2
  1006    1  1  2
  1007    1  1  2
  1008    1  1  2
  1009    1  1  2
  1010    1  1  2
  1011    1  1  2
  1012    1  1  2
  1013    1  1  2
  1014    1  1  2
  1015    1  1  2
  1016    1  1  2
  1017    1  1  2
  1018    1  1  2
  1019    1  1  2
  1020    1  1  2
  1021    1  1  2
  1022    1  1  2
  1023    1  1  2
  1024    1  1  2
  1025    1  1  2
  1026    1  1  2
  1027    1  1  2
  1028    1  1  2
  1029    1  1  2
  1030    1  1  2
  1031    1  1  2
  1032    1  1  2
  1033    1  1  2
  1034    1  1  2
  1035    1  1  2
  1036    1  1  2
  1037    1  1  2
  1038    1  1  2
  1039    1  1  2
  1040    1  1  2
  1041    1  1  2
  1042    1  1  2
  1043    1  1  2
  1044    1  1  2
  1045    1  1  2
  1046    1  1  2
  1047    1  1  2
  1048    1  1  2
  1049    1  1  2
  1050    1  1  2
  1051    1  1  2
  1052    1  1  2
  1053    1  1  2
  1054    1  1  2
  1055    1  1  2
  1056    1  1  2
  1057    1  1  2
  1058    1  1  2
  1059    1  1  2
  1060    1  1  2
  1061    1  1  2
  1062    1  1  2
  1063    1  1  2
  1064    1  1  2
  1065    1  1  2
  1066    1  1  2
  1067    1  1  2
  1068    1  1  2
  1069    1  1  2
  1070    1  1  2
  1071    1  1  2
  1072    1  1  2
  1073    1  1  2
  1074    1  1  2
  1075    1  1  2
  1076    1  1  2
  1077    1  1  2
  1078    1  1  2
  1079    1  1  2
  1080    1  1  2
  1081    1  1  2
  1082    1  1  2
  1083    1  1  2
  1084    1  1  2
  1085    1  1  2
  1086    1  1  2
  1087    1  1  2
  1088    1  1  2
  1089    1  1  2
  1090    1  1  2
  1091    1  1  2
  1092    1  1  2
  1093    1  1  2
  1094    1  1  2
  1095    1  1  2
  1096    1  1  2
  1097    1  1  2
  1098    1  1  2
  1099    1  1  2
  1100    1  1  2
  1101    1  1  2
  1102    1  1  2
  1103    1  1  2
  1104    1  1  2
  1105    1  1  2
  1106    1  1  2
  1107    1  1  2
  1108    1  1  2
  1109    1  1  2
  1110    1  1  2
  1111    1  1  2
  1112    1  1  2
  1113    1  1  2
  1114    1  1  2
  1115    1  1  2
  1116    1  1  2
  1117    1  1  2
  1118    1  1  2
  1119    1  1  2
  1120    1  1  2
  1121    1  1  2
  1122    1  1  2
  1123    1  1  2
  1124    1  1  2
  1125    1  1  2
  1126    1  1  2
  1127    1  1  2
  1128    1  1  2
  1129    1  1  2
  1130    1  1  2
  1131    1  1  2
  1132    1  1  2
  1133    1  1  2
  1134    1  1  2
  1135    1  1  2
  1136    1  1  2
  1137    1  1  2
  1138    1  1  2
  1139    1  1  2
  1140    1  1  2
  1141    1  1  2
  1142    1  1  2
  1143    1  1  2
  1144    1  1  2
  1145    1  1  2
  1146    1  1  2
  1147    1  1  2
  1148    1  1  2
  1149    1  1  2
  1150    1  1  2
  1151    1  1  2
  1152    1  1  2
  1153    1  1  2
  1154    1  1  2
  1155    1  1  2
  1156    1  1  2
  1157    1  1  2
  1158    1  1  2
  1159    1  1  2
  1160    1  1  2
  1161    1  1  2
  1162    1  1  2
  1163    1  1  2
  1164    1  1  2
  1165    1  1  2
  1166    1  1  2
  1167    1  1  2
  1168    1  1  2
  1169    1  1  2
  1170    1  1  2
  1171    1  1  2
  1172    1  1  2
  1173    1  1  2
  1174    1  1  2
  1175    1  1  2
  1176    1  1  2
  1177    1  1  2
  1178    1  1  2
  1179    1  1  2
  1180    1  1  2
  1181    1  1  2
  1182    1  1  2
  1183    1  1  2
  1184    1  1  2
  1185    1  1  2
  1186    1  1  2
  1187    1  1  2
  1188    1  1  2
  1189    1  1  2
  1190    1  1  2
  1191    1  1  2
  1192    1  1  2
  1193    1  1  2
  1194    1  1  2
  1195    1  1  2
  1196    1  1  2
  1197    1  1  2
  1198    1  1  2
  1199    1  1  2
  1200    1  1  2
  1201    1  1  2
  1202    1  1  2
  1203    1  1  2
  1204    1  1  2
  1205    1  1  2
  1206    1  1  2
  1207    1  1  2
  1208    1  1  2
  1209    1  1  2
  1210    1  1  2
  1211    1  1  2
  1212    1  1  2
  1213    1  1  2
  1214    1  1  2
  1215    1  1  2
  1216    1  1  2
  1217    1  1  2
  1218    1  1  2
  1219    1  1  2
  1220    1  1  2
  1221    1  1  2
  1222    1  1  2
  1223    1  1  2
  1224    1  1  2
  1225    1  1  2
  1226    1  1  2
  1227    1  1  2
  1228    1  1  2
  1229    2  1  2
  1230    2  1  2
  1231    2  1  2
  1232    2  1  2
  1233    2  1  2
  1234    2  1  2
  1235    2  1  2
  1236    2  1  2
  1237    2  1  2
  1238    2  1  2
  1239    2  1  2
  1240    2  1  2
  1241    2  1  2
  1242    2  1  2
  1243    2  1  2
  1244    2  1  2
  1245    2  1  2
  1246    2  1  2
  1247    2  1  2
  1248    2  1  2
  1249    2  1  2
  1250    2  1  2
  1251    2  1  2
  1252    2  1  2
  1253    2  1  2
  1254    2  1  2
  1255    2  1  2
  1256    2  1  2
  1257    2  1  2
  1258    2  1  2
  1259    2  1  2
  1260    2  1  2
  1261    2  1  2
  1262    2  1  2
  1263    2  1  2
  1264    2  1  2
  1265    2  1  2
  1266    2  1  2
  1267    2  1  2
  1268    2  1  2
  1269    2  1  2
  1270    2  1  2
  1271    2  1  2
  1272    2  1  2
  1273    2  1  2
  1274    2  1  2
  1275    2  1  2
  1276    2  1  2
  1277    2  1  2
  1278    2  1  2
  1279    2  1  2
  1280    2  1  2
  1281    1  2  2
  1282    1  2  2
  1283    1  2  2
  1284    1  2  2
  1285    1  2  2
  1286    1  2  2
  1287    1  2  2
  1288    1  2  2
  1289    1  2  2
  1290    1  2  2
  1291    1  2  2
  1292    1  2  2
  1293    1  2  2
  1294    1  2  2
  1295    1  2  2
  1296    1  2  2
  1297    1  2  2
  1298    1  2  2
  1299    1  2  2
  1300    1  2  2
  1301    1  2  2
  1302    1  2  2
  1303    1  2  2
  1304    1  2  2
  1305    1  2  2
  1306    1  2  2
  1307    1  2  2
  1308    1  2  2
  1309    1  2  2
  1310    1  2  2
  1311    1  2  2
  1312    1  2  2
  1313    1  2  2
  1314    1  2  2
  1315    1  2  2
  1316    1  2  2
  1317    1  2  2
  1318    1  2  2
  1319    1  2  2
  1320    1  2  2
  1321    1  2  2
  1322    1  2  2
  1323    1  2  2
  1324    1  2  2
  1325    1  2  2
  1326    1  2  2
  1327    1  2  2
  1328    1  2  2
  1329    1  2  2
  1330    1  2  2
  1331    1  2  2
  1332    1  2  2
  1333    1  2  2
  1334    1  2  2
  1335    1  2  2
  1336    1  2  2
  1337    1  2  2
  1338    1  2  2
  1339    1  2  2
  1340    1  2  2
  1341    1  2  2
  1342    1  2  2
  1343    1  2  2
  1344    1  2  2
  1345    1  2  2
  1346    1  2  2
  1347    1  2  2
  1348    1  2  2
  1349    1  2  2
  1350    1  2  2
  1351    1  2  2
  1352    1  2  2
  1353    1  2  2
  1354    1  2  2
  1355    1  2  2
  1356    1  2  2
  1357    1  2  2
  1358    1  2  2
  1359    1  2  2
  1360    1  2  2
  1361    1  2  2
  1362    1  2  2
  1363    1  2  2
  1364    1  2  2
  1365    1  2  2
  1366    1  2  2
  1367    1  2  2
  1368    1  2  2
  1369    1  2  2
  1370    1  2  2
  1371    1  2  2
  1372    1  2  2
  1373    1  2  2
  1374    1  2  2
  1375    1  2  2
  1376    1  2  2
  1377    1  2  2
  1378    1  2  2
  1379    1  2  2
  1380    1  2  2
  1381    1  2  2
  1382    1  2  2
  1383    1  2  2
  1384    1  2  2
  1385    1  2  2
  1386    1  2  2
  1387    1  2  2
  1388    1  2  2
  1389    1  2  2
  1390    1  2  2
  1391    1  2  2
  1392    1  2  2
  1393    1  2  2
  1394    1  2  2
  1395    1  2  2
  1396    1  2  2
  1397    1  2  2
  1398    1  2  2
  1399    1  2  2
  1400    1  2  2
  1401    1  2  2
  1402    1  2  2
  1403    1  2  2
  1404    1  2  2
  1405    1  2  2
  1406    1  2  2
  1407    1  2  2
  1408    1  2  2
  1409    1  2  2
  1410    1  2  2
  1411    1  2  2
  1412    1  2  2
  1413    1  2  2
  1414    1  2  2
  1415    1  2  2
  1416    1  2  2
  1417    1  2  2
  1418    1  2  2
  1419    1  2  2
  1420    1  2  2
  1421    1  2  2
  1422    1  2  2
  1423    1  2  2
  1424    1  2  2
  1425    1  2  2
  1426    1  2  2
  1427    1  2  2
  1428    1  2  2
  1429    1  2  2
  1430    1  2  2
  1431    1  2  2
  1432    1  2  2
  1433    1  2  2
  1434    1  2  2
  1435    1  2  2
  1436    1  2  2
  1437    1  2  2
  1438    1  2  2
  1439    1  2  2
  1440    1  2  2
  1441    1  2  2
  1442    1  2  2
  1443    1  2  2
  1444    1  2  2
  1445    1  2  2
  1446    1  2  2
  1447    1  2  2
  1448    1  2  2
  1449    1  2  2
  1450    1  2  2
  1451    1  2  2
  1452    1  2  2
  1453    1  2  2
  1454    1  2  2
  1455    1  2  2
  1456    1  2  2
  1457    1  2  2
  1458    1  2  2
  1459    1  2  2
  1460    1  2  2
  1461    1  2  2
  1462    1  2  2
  1463    1  2  2
  1464    1  2  2
  1465    1  2  2
  1466    1  2  2
  1467    1  2  2
  1468    1  2  2
  1469    1  2  2
  1470    1  2  2
  1471    1  2  2
  1472    1  2  2
  1473    1  2  2
  1474    1  2  2
  1475    1  2  2
  1476    1  2  2
  1477    1  2  2
  1478    1  2  2
  1479    1  2  2
  1480    1  2  2
  1481    1  2  2
  1482    1  2  2
  1483    1  2  2
  1484    1  2  2
  1485    1  2  2
  1486    1  2  2
  1487    1  2  2
  1488    1  2  2
  1489    1  2  2
  1490    1  2  2
  1491    1  2  2
  1492    1  2  2
  1493    1  2  2
  1494    1  2  2
  1495    1  2  2
  1496    1  2  2
  1497    1  2  2
